Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1976,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,97,,live,,T,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,BE,GH,,,250,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CA,GH,,,1,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,7,,live,,P,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,147,,live,,T,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,,32,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,GH,,,610,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,EG,GH,,,1,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,FR,GH,,,100,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,GH,,,3,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GR,GH,,,10,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,IT,GH,,,1,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,JP,GH,,,390,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,LB,GH,,,2,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,LR,GH,,,8,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,NL,GH,,,650,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SA,GH,,,244,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SE,GH,,,300,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SY,GH,,,5,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,US,GH,,942,1603,live,,,
1977,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,YU,GH,,,1,live,,,
1978,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CA,US,,1,,live,,Q,
1978,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,NG,,1,,live,,,
1978,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,US,CA,,,1,live,,Q,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,AT,GH,,,30,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,BE,GH,,,200,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,6,,live,,P,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,189,,live,,T,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CH,GH,,,76,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,GH,,2300,1092,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DK,GH,,,50,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,EG,GH,,,4,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,ES,GH,,,50,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,GH,,,53,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GR,GH,,,250,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,IR,GH,,,10,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,IT,GH,,,620,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,JP,GH,,,67,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,LB,GH,,,2,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,NL,GH,,,540,live,,,
1978,III,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SA,GH,,,8,live,,,
