Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Author,Rank,Listing,Party,Listed under,Full note,# Full note,All_DistributionFullNames,All_DistributionISOCodes,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain,,Binomial
8068,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,alba,,Cacatua alba,"(P. L. S. Müller, 1776)",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,Indonesia,ID,Indonesia,,,,,,,,Cacatua alba
7565,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,ducorpsii,,Cacatua ducorpsii,"Pucheran, 1853",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,"Papua New Guinea,Solomon Islands","PG,SB","Papua New Guinea,Solomon Islands",,,,,,,,Cacatua ducorpsii
7207,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,galerita,,Cacatua galerita,"(Latham, 1790)",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,"Australia,Indonesia,New Zealand,Papua New Guinea,Singapore","AU,ID,NZ,PG,SG","Australia,Indonesia,Papua New Guinea","New Zealand,Singapore",,,,,,,Cacatua galerita
9618,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,goffiniana,,Cacatua goffiniana,"(Finsch, 1863)",SPECIES,I,,Cacatua goffiniana,,,"Indonesia,Solomon Islands","ID,SB","Indonesia,Solomon Islands",,,,,,,,Cacatua goffiniana
4740,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,haematuropygia,,Cacatua haematuropygia,"(Müller, 1776)",SPECIES,I,,Cacatua haematuropygia,,,Philippines,PH,Philippines,,,,,,,,Cacatua haematuropygia
4791,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,leadbeateri,,Cacatua leadbeateri,"(Vigors, 1831)",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,Australia,AU,Australia,,,,,,,,Cacatua leadbeateri
4019,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,moluccensis,,Cacatua moluccensis,"(Gmelin, 1788)",SPECIES,I,,Cacatua moluccensis,,,"Indonesia,Singapore","ID,SG",Indonesia,Singapore,,,,,,,Cacatua moluccensis
10816,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,ophthalmica,,Cacatua ophthalmica,"Sclater, 1864",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,Papua New Guinea,PG,Papua New Guinea,,,,,,,,Cacatua ophthalmica
9344,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,pastinator,,Cacatua pastinator,"(Gould, 1841)",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,Australia,AU,Australia,,,,,,,,Cacatua pastinator
8036,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,sanguinea,,Cacatua sanguinea,"Gould, 1843",SPECIES,II,,Psittaciformes spp.,"**II** [ORDER listing Psittaciformes spp.] Included in Appendix II, except for the species included in Appendix I and Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus and Psittacula krameri, which are not included in the Appendices.",,"Australia,Indonesia,Papua New Guinea,Singapore","AU,ID,PG,SG","Australia,Indonesia,Papua New Guinea",Singapore,,,,,,,Cacatua sanguinea
