"","Lifespan_Years","Bodymass_g","LowerCI_Lifespan_Years","LowerCI_Bodymass_g","UpperCI_Lifespan_Years","UpperCI_Bodymass_g","LifespanStatus","BodymassStatus","Species","Family"
"1",1.77815125038364,3.41912930774198,1.77815125038364,3.41912930774198,1.77815125038364,3.41912930774198,"Log10(Years)","Log10(g)","Strigops_habroptila","Psittacidae"
"2",1.67209785793572,2.95170170706204,1.67209785793572,2.95170170706204,1.67209785793572,2.95170170706204,"Log10(Years)","Log10(g)","Nestor_notabilis","Psittacidae"
"3",1.61250696769434,2.63245729218472,1.32292988677108,2.63245729218472,1.90208404861759,2.63245729218472,"Log10(Years) - Imputed","Log10(g)","Nestor_meridionalis","Psittacidae"
"4",1.67209785793572,2.79239168949825,1.67209785793572,2.79239168949825,1.67209785793572,2.79239168949825,"Log10(Years)","Log10(g)","Calyptorhynchus_baudinii","Cacatuidae"
"5",1.6570558528571,2.85955857262605,1.6570558528571,2.85955857262605,1.6570558528571,2.85955857262605,"Log10(Years)","Log10(g)","Calyptorhynchus_banksii","Cacatuidae"
"6",1.58458797162483,2.64048143697042,1.19390274921793,2.64048143697042,1.97527319403173,2.64048143697042,"Log10(Years) - Imputed","Log10(g)","Calyptorhynchus_lathami","Cacatuidae"
"7",1.61258330804035,2.82980377687077,1.5513912343673,2.74767964624514,1.6737753817134,2.91192790749639,"Log10(Years) - Imputed","Log10(g) - Imputed","Calyptorhynchus_latirostris","Cacatuidae"
"8",1.61278385671974,2.83154985199576,1.61278385671974,2.83154985199576,1.61278385671974,2.83154985199576,"Log10(Years)","Log10(g)","Calyptorhynchus_funereus","Cacatuidae"
"9",1.43933269383026,2.40823996531185,1.43933269383026,2.40823996531185,1.43933269383026,2.40823996531185,"Log10(Years)","Log10(g)","Callocephalon_fimbriatum","Cacatuidae"
"10",1.75050839485135,2.91407858538911,1.75050839485135,2.91407858538911,1.75050839485135,2.91407858538911,"Log10(Years)","Log10(g)","Probosciger_aterrimus","Cacatuidae"
"11",1.63346845557959,2.75358305889291,1.63346845557959,2.75358305889291,1.63346845557959,2.75358305889291,"Log10(Years)","Log10(g)","Cacatua_tenuirostris","Cacatuidae"
"12",1.50379068305718,2.69196510276736,1.50379068305718,2.69196510276736,1.50379068305718,2.69196510276736,"Log10(Years)","Log10(g)","Cacatua_ophthalmica","Cacatuidae"
"13",1.42975228000241,2.75396586586516,1.42975228000241,2.75396586586516,1.42975228000241,2.75396586586516,"Log10(Years)","Log10(g)","Cacatua_alba","Cacatuidae"
"14",1.75587485567249,2.90308998699194,1.75587485567249,2.90308998699194,1.75587485567249,2.90308998699194,"Log10(Years)","Log10(g)","Cacatua_galerita","Cacatuidae"
"15",1.69635638873333,2.53147891704225,1.69635638873333,2.53147891704225,1.69635638873333,2.53147891704225,"Log10(Years)","Log10(g)","Cacatua_sulphurea","Cacatuidae"
"16",1.81822589361396,2.91907809237607,1.81822589361396,2.91907809237607,1.81822589361396,2.91907809237607,"Log10(Years)","Log10(g)","Cacatua_moluccensis","Cacatuidae"
"17",1.48429983934679,2.59549622182557,1.48429983934679,2.59549622182557,1.48429983934679,2.59549622182557,"Log10(Years)","Log10(g)","Cacatua_ducorpsii","Cacatuidae"
"18",1.67117284271508,2.54406804435028,1.67117284271508,2.54406804435028,1.67117284271508,2.54406804435028,"Log10(Years)","Log10(g)","Cacatua_sanguinea","Cacatuidae"
"19",1.41497334797082,2.43933269383026,1.41497334797082,2.43933269383026,1.41497334797082,2.43933269383026,"Log10(Years)","Log10(g)","Cacatua_goffiniana","Cacatuidae"
"20",1.41995574848976,2.80413943233535,1.41995574848976,2.80413943233535,1.41995574848976,2.80413943233535,"Log10(Years)","Log10(g)","Cacatua_pastinator","Cacatuidae"
"21",1.2380461031288,2.45939248775923,1.2380461031288,2.45939248775923,1.2380461031288,2.45939248775923,"Log10(Years)","Log10(g)","Cacatua_haematuropygia","Cacatuidae"
