"","Year","Taxon","Country","ExportSum"
"1",1975,"Anodorhynchus leari","PT",2
"2",1975,"Eunymphicus cornutus","NC",6
"3",1975,"Probosciger aterrimus","DE",1
"4",1975,"Prosopeia personata","BE",4
"5",1975,"Tanygnathus lucionensis","PH",9
"6",1976,"Amazona vinacea","DE",4
"7",1976,"Anodorhynchus leari","XX",1
"8",1976,"Cyanoramphus novaezelandiae","DE",4
"9",1976,"Eunymphicus cornutus","DE",3
"10",1976,"Eunymphicus cornutus","NC",22
"11",1976,"Neophema splendida","CH",4
"12",1976,"Poicephalus gulielmi","GH",1
"13",1976,"Probosciger aterrimus","BE",3
"14",1976,"Psephotus chrysopterygius","CH",4
"15",1976,"Psephotus chrysopterygius","DE",1
"16",1976,"Psittacus erithacus","GH",97
"17",1976,"Tanygnathus lucionensis","DE",2
"18",1977,"Amazona leucocephala","CA",1
"19",1977,"Amazona leucocephala","XX",11
"20",1977,"Cacatua tenuirostris","AU",2
"21",1977,"Cyanoramphus novaezelandiae","DE",2
"22",1977,"Cyanoramphus novaezelandiae","XX",52
"23",1977,"Cyanoramphus novaezelandiae","ZA",100
"24",1977,"Neophema splendida","ZA",100
"25",1977,"Pionopsitta pileata","AR",1
"26",1977,"Poicephalus gulielmi","GH",370
"27",1977,"Poicephalus robustus","DE",3
"28",1977,"Poicephalus senegalus","GH",1
"29",1977,"Polytelis alexandrae","AU",2
"30",1977,"Polytelis alexandrae","DD",2
"31",1977,"Polytelis alexandrae","XX",16
"32",1977,"Probosciger aterrimus","DE",9
"33",1977,"Probosciger aterrimus","PG",5
"34",1977,"Probosciger aterrimus","SG",4
"35",1977,"Psephotus chrysopterygius","ZA",100
"36",1977,"Psephotus dissimilis","AU",2
"37",1977,"Psittacula echo","MU",4
"38",1977,"Psittacus erithacus","GH",4365
"39",1977,"Tanygnathus lucionensis","PH",12
"40",1978,"Amazona leucocephala","AT",2
"41",1978,"Amazona vinacea","SE",1
"42",1978,"Amazona vinacea","XX",4
"43",1978,"Anodorhynchus leari","DE",1
"44",1978,"Cyanoramphus novaezelandiae","GB",35
"45",1978,"Cyanoramphus novaezelandiae","XX",17
"46",1978,"Neophema splendida","DD",2
"47",1978,"Poicephalus gulielmi","GH",350
"48",1978,"Poicephalus robustus","ZA",2
"49",1978,"Poicephalus rufiventris","GB",3
