Species,Database,management_practices.value,management_practices.unit,conservation_notes.value,threats.value,threats.unit,scope.value,scope.unit,timing.value,timing.unit,severity.value,severity.unit,score.value,score.unit,threats_notes.value,threats.value1,threats.value2,threats.value3,scope.value1,scope.value2,scope.value3,timing.value1,timing.value2,timing.value3,severity.value1,severity.value2,severity.value3,score.value1,score.value2,score.value3,management_practices.value1,management_practices.value2,threats.value4,threats.value5,threats.value6,threats.value7,threats.value8,scope.value4,scope.value5,scope.value6,scope.value7,scope.value8,timing.value4,timing.value5,timing.value6,timing.value7,timing.value8,severity.value4,severity.value5,severity.value6,severity.value7,severity.value8,score.value4,score.value5,score.value6,score.value7,score.value8,threats.value9,threats.value10,threats.value11,threats.value12,threats.value13,threats.value14,threats.value15,threats.value16,scope.value9,scope.value10,scope.value11,scope.value12,scope.value13,scope.value14,scope.value15,scope.value16,timing.value9,timing.value10,timing.value11,timing.value12,timing.value13,timing.value14,timing.value15,timing.value16,severity.value9,severity.value10,severity.value11,severity.value12,severity.value13,severity.value14,severity.value15,severity.value16,score.value9,score.value10,score.value11,score.value12,score.value13,score.value14,score.value15,score.value16,management_practices.value3,management_practices.value4,management_practices.value5,management_practices.value6,management_practices.value7,management_practices.value8,management_practices.value9,management_practices.value10,threats.value17,threats.value18,threats.value19,threats.value20,threats.value21,scope.value17,scope.value18,scope.value19,scope.value20,scope.value21,timing.value17,timing.value18,timing.value19,timing.value20,timing.value21,severity.value17,severity.value18,severity.value19,severity.value20,severity.value21,score.value17,score.value18,score.value19,score.value20,score.value21,threats.value22,threats.value23,scope.value22,scope.value23,timing.value22,timing.value23,severity.value22,severity.value23,score.value22,score.value23,threats.value24,threats.value25,threats.value26,threats.value27,scope.value24,scope.value25,scope.value26,scope.value27,timing.value24,timing.value25,timing.value26,timing.value27,severity.value24,severity.value25,severity.value26,severity.value27,score.value24,score.value25,score.value26,score.value27,management_practices.value11,threats.value28,threats.value29,threats.value30,threats.value31,threats.value32,threats.value33,scope.value28,scope.value29,scope.value30,scope.value31,scope.value32,scope.value33,timing.value28,timing.value29,timing.value30,timing.value31,timing.value32,timing.value33,severity.value28,severity.value29,severity.value30,severity.value31,severity.value32,severity.value33,score.value28,score.value29,score.value30,score.value31,score.value32,score.value33,threats.value34,threats.value35,timing.value34,timing.value35,score.value34,score.value35
Agapornis_canus,iucn,value,unit,"Conservation Actions Underway
The species is listed under CITES Appendix II.",value,unit,value,unit,value,unit,value,unit,value,unit,"The species has been heavily traded: since 1981 when it was listed on CITES Appendix II, 107,829 wild-caught individuals have been recorded in international trade (UNEP-WCMC CITES Trade Database, January 2005).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_canus,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_fischeri,iucn,NA,unit,"Conservation Actions Underway
CITES Appendix II. Conservation Actions Proposed
Carry out surveys to obtain an up-to-date population estimate. Monitor population trends through regular surveys. Prevent trapping for export from starting again. Thoroughly investigate the extent of hybridisation with A. personata.  ",NA,unit,NA,unit,NA,unit,NA,unit,NA,unit,"It was the most commonly traded wild bird in the world in 1987 and was the most popular wild-caught parrot imported into the then European Economic Community, accounting for c.80% of the Psittacine exports from Tanzania (RSPB 1991). Legal trapping for export has now been halted, but the population is still much lower than it was, and trade could re-start; although this bird is now being bred in captivity for the pet trade (Moyer 1995, A. Mathur in litt. 2009). The species has hybridised with Yellow-collared Lovebird A. personata in the wild, and although it was originally thought not to hybridise within its natural range (there is range overlap but A. fischeri appeared to be a non-breeding visitor to A. personata habitat [N. Baker in litt. 1999, Morton and Bhatia 1992]), this is no longer considered the case. There is possible evidence of hybridisation within its range, presumed as a result of release/escape from captivity (R. Wirth in litt. 2015); with hybrids recorded in Serengeti NP - within the range of A. fischeri but well away from its contact zone with A. personatus (Kolber 2016). It remains unclear whether the destruction of woodland, that had previously separated the two species, has led to the two taxa encountering each other more often and leading to hybridisation (R. Wirth in litt. 2015).
",Hunting & trapping terrestrial animals,Intentional use (species is the target),Problematic native species/diseases,Whole (>90%),Whole (>90%),Minority (<50%),"Past, Likely to Return","Past, Likely to Return",Ongoing,Rapid Declines,Rapid Declines,Unknown,Past Impact,Past Impact,Unknown,Compliance and enforcement,National level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_fischeri,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Hunting & trapping terrestrial animals,Intentional use (species is the target),Problematic native species/diseases,Whole (>90%),Whole (>90%),Minority (<50%),"Past, Likely to Return","Past, Likely to Return",Ongoing,Rapid Declines,Rapid Declines,Unknown,Past Impact,Past Impact,Unknown,Compliance and enforcement,National level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_fischeri,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Hunting & trapping terrestrial animals,Intentional use (species is the target),Problematic native species/diseases,Whole (>90%),Whole (>90%),Minority (<50%),"Past, Likely to Return","Past, Likely to Return",Ongoing,Rapid Declines,Rapid Declines,Unknown,Past Impact,Past Impact,Unknown,Compliance and enforcement,National level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_lilianae,iucn,NA,unit,"Conservation Actions Underway
CITES Appendix II. An engagement project is underway in Liwonde National Park, Malawi (Mzumara 2012).Conservation Actions Proposed
Carry out surveys to obtain an overall population estimate. Monitor population trends through regular surveys. Control or halt trapping and trade in order to prevent over-exploitation.  ",NA,unit,NA,unit,NA,unit,NA,unit,NA,unit,"Its population has been reduced considerably by flooding of a large section of the Zambezi valley by Lake Kariba, and very likely also by the Cahorra Bassa Dam in Mozambique. It is considered a pest by small-scale farmers (Harrison et al. 1997). In addition to legal trapping of large numbers for the international cage-bird trade (over 10,000 since 1981 when it was listed on CITES Appendix II), many are captured and sold locally in Mozambique, and the species is also captured and traded in Zimbabwe and Zambia (V. Parker in litt. 2003, UNEP-WCMC CITES Trade Database, January 2005). The species also suffers some unintentional mortality as pools are poisoned by hunters to catch larger birds, but this species is killed as a byproduct of this (Mzumara 2012)",Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Negligible declines,"Slow, Significant Declines",Medium Impact: 6,Low Impact: 4,Low Impact: 5,Legislation,International level,Intentional use (species is the target),Unintentional effects (species is not the target),Persecution/control,Dams & water management/use,Dams (size unknown),Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Past, Unlikely to Return","Past, Unlikely to Return","Slow, Significant Declines","Slow, Significant Declines",Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 5,Low Impact: 4,Past Impact,Past Impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_lilianae,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Negligible declines,"Slow, Significant Declines",Medium Impact: 6,Low Impact: 4,Low Impact: 5,Legislation,International level,Intentional use (species is the target),Unintentional effects (species is not the target),Persecution/control,Dams & water management/use,Dams (size unknown),Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Past, Unlikely to Return","Past, Unlikely to Return","Slow, Significant Declines","Slow, Significant Declines",Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 5,Low Impact: 4,Past Impact,Past Impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_lilianae,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Negligible declines,"Slow, Significant Declines",Medium Impact: 6,Low Impact: 4,Low Impact: 5,Legislation,International level,Intentional use (species is the target),Unintentional effects (species is not the target),Persecution/control,Dams & water management/use,Dams (size unknown),Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Past, Unlikely to Return","Past, Unlikely to Return","Slow, Significant Declines","Slow, Significant Declines",Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 5,Low Impact: 4,Past Impact,Past Impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_nigrigenis,iucn,NA,unit,"Conservation Actions Underway
CITES Appendix II. Trapping of birds for trade is now banned (T. Dodman in litt. 2000) although a number of captive populations still exist and flourish. In Zambia, a trade ban on wild-caught birds was implemented in 1930 (Warburton and Perrin 2005d). Approximately 35% of its habitat lies within Kafue National Park and surrounding Game Management Areas (P. Leonard in litt. 1999, T. Dodman in litt. 2000), whilst most of its core range is included within the Machile and Kafue National Park IBAs (Leonard 2005). Detailed research programmes on this species were underway in the 1990s (Dodman 1995b, Warburton 1999a, b, Dodman et al. 2000, T. Dodman in litt. 2000) from which reports have been published. An education project focusing on the species was conducted in south-west Zambia in September 2001, involving local schools, villagers and Zambia Wildlife Authority scouts (Warburton 2003).  Conservation Actions Proposed
Conduct regular (e.g. monthly) counts at selected sites (such as water sources in the dry season) to monitor its population, concentrating on the core distribution (Dodman 1995c, Dodman et al. 2000, Warburton 2003, Warburton and Perrin 2005d). Conduct annual monitoring  in areas such as the mid-Machile and Sichifulo rivers and the Mabiya pools region of south Kafue National Park and monitor the availability of surface water in the dry season (Warburton and Perrin 2005d). Investigate its status in the eastern Caprivi (Dodman (1995c, Dodman et al. 2000). Encourage its return to former range areas, initially through piloting the provision of undisturbed water sources and strips of sorghum and millet (Warburton 1999b). Continue a programme of environmental education involving school-visits and meetings with farming communities (Dodman 1995c, Dodman et al. 2000, Warburton 2003) to reduce trapping and disturbance at water sources (Warburton and Perrin 2005d). Provide training in ornithology and conservation for potential local bird guides and hold meetings with villagers on the protection of resources such as trees and water (Dodman 1995c). Maintain and create water resources with minimal disturbance (Warburton 2003). Continue to enforce the trade ban on wild-caught birds of this species (Warburton 2003, Warburton and Perrin 2005d) and further develop captive breeding programmes. Investigate the effect of burning on the availability of grass seeds (Warburton and Perrin 2005b).  Manage water sources to encourage use by the species, and assess the impact of pumped boreholes on surface water supplies (Warburton and Perrin 2005d). Identify a selection of reasonably accessible sites where visitors can go to see the species, and ensure options for revenue generation through ecotourism, in collaboration with BirdWatch Zambia (T. Dodman in litt. 2012).  ",NA,unit,NA,unit,NA,unit,NA,unit,NA,unit,"Three factors are thought to have caused its decline the past century: heavy exploitation for the cage-bird trade from the 1920s to the 1960s (Moreau 1948, Dodman 1995c), gradual desiccation of its habitat (Moreau 1948, Dodman 1995c), which is thought to be (currently) the main threat given the highly localised range of the species (Warburton 2003), and the partial replacement of sorghum and millet crops, (an attractive food source [Dodman 1995b, L. S. Warburton in litt. 1999, 2000]), with maize, between c.1930 and 1950 (Dodman 1995c, Dodman et al. 2000). There is evidence that the wild-caught trade in this species is currently at a very low level, with only isolated incidences of trade and export (Dodman 1995c, Warburton and Perrin 2005c), although it is clear that any international demand would be met eagerly (Warburton and Perrin 2005a, d). Some birds are caught for subsistence consumption and it is also persecuted as a pest, however these birds would usually be eaten as well (Dodman 1995c, Warburton and Perrin 2005c). Farmers take measures to mitigate damage to crops, but they are largely ineffective and rarely lethal (Dodman 1995c, Warburton 2003). The current levels of hunting and capture are unlikely to have any serious long-term impact on the population, but could threaten local populations suffering from the effects of desiccation (Dodman 1995c). Recently there may have been local declines due to loss of surface water supplies in the dry season, perhaps due to long-term climate change (Dodman 1995b, c, Warburton 1999b, Dodman et al. 2000). The direct effect of climate change on the species's habitat may not be that great, but the indirect effect through the effect on human populations could have a large impact on the species (Segan et al. 2015). The number of permanent water sources in mopane woodland has decreased since the early 20th century (Dodman 1995c). The low availability of water in the dry season is probably the principal factor in the disappearance of permanent populations from the Bovu and Sinde Rivers, and changes to the Ngweze River population (Dodman 1995c). This is exacerbated by a decrease in the annual rainfall in the species's habitat of, on average, about 5 mm per year between 1950 and 1995, increasing the species's reliance on artificial water sources (Warburton and Perrin 2005d). The recent establishment of hand-pumped boreholes along the catchments of the Ngweze, Sichifulo, and Machile rivers may lead to a decrease in the availability of surface water as people reduce their water source creation activities in riverbeds (Warburton and Perrin 2005d). In some areas, water pools are poisoned to kill fish and this can impact the species (Dodman 1995c). The species may be threatened by the declining dry-season availability of water in temporary rivers in south-western Zambia, due to declining levels of rainfall (T. Dodman in litt. 2007). Mopane woodland is exploited for firewood and timber, with large areas cleared (T. Mzumara in litt. via C. Downs 2016), though the habitat is regenerating and encroaching into other habitats in some areas (Dodman 1995c). Psittacine Beak and Feather Disease Virus is present in the wild population (Warburton 2003, Warburton and Perrin 2005c), but there is no evidence that this is a serious threat. ",Droughts,Other impacts,Annual & perennial non-timber crops,Majority (50-90%),Minority (<50%),Majority (50-90%),Ongoing,Future,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 3,Medium Impact: 6,Site/area management,Ex-situ conservation,Small-holder farming,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Persecution/control,Majority (50-90%),Minority (<50%),Whole (>90%),Whole (>90%),Minority (<50%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",Negligible declines,Medium Impact: 6,Low Impact: 4,Medium Impact: 7,Medium Impact: 7,Low Impact: 4,Logging & wood harvesting,Unintentional effects: (subsistence/small scale) [harvest],Fishing & harvesting aquatic resources,Unintentional effects: (subsistence/small scale) [harvest],Dams & water management/use,Abstraction of ground water (domestic use),Viral/prion-induced diseases,Named species,Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,No decline,No decline,Negligible declines,Negligible declines,Unknown,Unknown,Negligible declines,Negligible declines,Low Impact: 4,Low Impact: 4,Low Impact: 4,Low Impact: 4,Unknown,Unknown,Low Impact: 4,Low Impact: 4,Captive breeding/artificial propagation,Formal education,Awareness & communications,Compliance and enforcement,National level,Linked enterprises & livelihood alternatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
