Species,Database,lifespan.value,lifespan.unit,breeding_lifespan.male.value,breeding_lifespan.male.unit,breeding_lifespan.female.value,breeding_lifespan.female.unit,generation_time.value,generation_time.unit,sexual_maturity_age.male.value,sexual_maturity_age.male.unit,sexual_maturity_age.female.value,sexual_maturity_age.female.unit,clutch_size.value,clutch_size.unit,breeding_interval.value,breeding_interval.unit,time_to_independence.value,time_to_independence.unit,hatching_time.value,hatching_time.unit,breeding_season.value,breeding_season.unit,bodymass.adult_bodymass.value,bodymass.adult_bodymass.unit
Agapornis_canus,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_canus,eol,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_fischeri,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_fischeri,anage,12.6,Years,NaN,Years,NaN,Years,?,?,NaN,Years,NaN,Years,NaN,Individuals,NaN,?,NaN,Years,NaN,Years,?,Years,0.0483,Kg
Agapornis_fischeri,eol,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,50,g
Agapornis_lilianae,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_lilianae,anage,19.2,Years,NaN,Years,NaN,Years,?,?,NaN,Years,NaN,Years,NaN,Individuals,NaN,?,NaN,Years,NaN,Years,?,Years,0.0373,Kg
Agapornis_lilianae,eol,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_nigrigenis,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_nigrigenis,eol,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_personatus,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_personatus,eol,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
Agapornis_pullarius,iucn,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit,value,unit
